"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",4,18,48,86,94,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100
"Batch_2",0,28,78,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Batch_3",6,34,84,96,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Batch_4",0,20,62,80,92,96,96,98,100,100,100,100,100,100,100,100,100,100,100,100
"Total",0,14,68,92,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
