"","RSD"
"M1",0.215618
"M2",0.089622
"M3",0.128905
"M4",0.114822
"M5",0.118998
"M6",0.08832
"M7",0.114497
"M8",0.165557
"M9",0.151293
"M10",0.114713
"M11",0.097497
"M12",0.098822
"M13",0.13928
"M14",0.180683
"M15",0.129575
"M16",0.167132
"M17",0.135833
"M18",0.156365
"M19",0.256822
"M20",0.245083
"M21",0.141096
"M22",0.167639
"M23",0.166396
"M24",0.163038
"M25",0.144847
"M26",0.145951
"M27",0.145811
"M28",0.122046
"M29",0.120002
"M30",0.123231
"M31",0.192679
"M32",0.096009
"M33",0.146836
"M34",0.110949
"M35",0.120245
"M36",0.100507
"M37",0.172789
"M38",0.145665
"M39",0.220458
"M40",0.119139
"M41",0.085494
"M42",0.169703
"M43",0.130869
"M44",0.132147
"M45",0.072251
"M46",0.106708
"M47",0.15524
"M48",0.129019
"M49",0.132444
"M50",0.143229
